Wetland,asset_precip_3m,subwetland,year,asset_precip_3m_scaled,asset_precip_3m_scaled_lagged,asset_precip,asset_precip_annual_scaled,asset_precip_annual_scaled_lagged
Booligal Wetlands,9996.537093366596,,2005,-0.6742575930441473,0.523896385592331,46288.61738864418,-0.47071377574341383,-1.3156156363419138
Booligal Wetlands,17255.635717747253,,2006,0.90913033364728,-0.6742575930441473,36772.52143150989,-1.2808363811715562,-0.47071377574341383
Booligal Wetlands,10112.242960322372,,2007,-0.6490192980071006,0.90913033364728,36379.25173379311,-1.3143161478306347,-1.2808363811715562
Booligal Wetlands,6853.472015881535,,2008,-1.3598373811159634,-0.6490192980071006,46298.44308122081,-0.4698772966130889,-1.3143161478306347
Booligal Wetlands,10794.928621040839,,2009,-0.5001087667082911,-1.3598373811159634,42249.448463205714,-0.8145755934867913,-0.4698772966130889
Booligal Wetlands,7092.196939342161,,2010,-1.3077656045542914,-0.5001087667082911,65638.9943851249,1.1766191115057105,-0.8145755934867913
Booligal Wetlands,18946.94851129265,,2011,1.27804724690757,-1.3077656045542914,76298.10653277095,2.084048770002157,1.1766191115057105
Booligal Wetlands,11506.862087494721,,2012,-0.3448185697126784,1.27804724690757,57799.843647299575,0.5092579112111878,2.084048770002157
Booligal Wetlands,9925.166224988769,,2013,-0.6898253345991916,-0.3448185697126784,46794.841892210185,-0.42761796044186684,0.5092579112111878
Booligal Wetlands,11498.942627868466,,2014,-0.3465459986135638,-0.6898253345991916,45161.28589481369,-0.5666855619756098,-0.42761796044186684
Booligal Wetlands,8170.194527417305,,2015,-1.0726278203357593,-0.3465459986135638,49536.93953274757,-0.19417818693631667,-0.5666855619756098
Booligal Wetlands,12803.450625873777,,2016,-0.06200072361528604,-1.0726278203357593,70307.44001542215,1.574052402884055,-0.19417818693631667
Booligal Wetlands,27549.865576164862,,2017,3.154555022831129,-0.06200072361528604,41506.0374752982,-0.8778635268094926,1.574052402884055
Booligal Wetlands,8794.03216034922,,2018,-0.936553491095684,3.154555022831129,42344.771804707416,-0.8064605435626068,-0.8778635268094926
Booligal Wetlands,5822.489808373358,,2019,-1.5847199546243793,-0.936553491095684,46449.66641204944,-0.45700337864039703,-0.8064605435626068
Booligal Wetlands,7679.556600827797,,2020,-1.1796480179577504,-1.5847199546243793,52198.54584690809,0.0324092131450344,-0.45700337864039703
Booligal Wetlands,14801.354195124497,,2021,0.3737911775472644,-1.1796480179577504,60082.48486248218,0.7035833212145434,0.0324092131450344
Booligal Wetlands,15075.829513009852,,2022,0.4336609943114006,0.3737911775472644,67703.22029062416,1.3523504278236813,0.7035833212145434
Booligal Wetlands,16971.866155350443,,2023,0.8472332135899044,0.4336609943114006,73602.6176385019,1.8545768840770531,1.3523504278236813
Booligal Wetlands,8880.316816283676,,2024,-0.9177326857127018,0.8472332135899044,66057.14330426208,1.212216891662016,1.8545768840770531
