wetlands,water_year,flow_3m,wetland_flow_3m_scaled,wetland_flow_3m_scaled_lagged,flow,wetland_flow_annual_scaled,wetland_flow_annual_scaled_lagged
mulwala,2023,148878270.25920004,0.952349708606969,2.591514558502738,605990232.7488,1.6804448095735578,1.953272635505254
mulwala,2024,73544497.0848,-0.3005574475295473,0.952349708606969,349666447.7088,-0.289863843220205,1.6804448095735578
mulwala,2025,36077914.8576,-0.923679680897091,-0.3005574475295473,329554589.9904,-0.44445959125091045,-0.289863843220205
murray river and euston lakes,2010,1479362.2272,-0.3541636244581737,NA,3959907.9552000007,-0.6497221707801369,NA
murray river and euston lakes,2011,2974144.176,0.9823473952555827,-0.3541636244581737,13831844.688000001,1.5043470666455203,-0.6497221707801369
murray river and euston lakes,2012,3722665.1328000003,1.651613242393357,0.9823473952555827,9140542.1568,0.48069884650049244,1.5043470666455203
murray river and euston lakes,2013,1504395.7632000002,-0.3317806964643879,1.651613242393357,3982592.9664000003,-0.6447722722851214,0.48069884650049244
murray river and euston lakes,2014,1274503.7664,-0.5373312032214841,-0.3317806964643879,3768925.4208000004,-0.6913948043647673,-0.6447722722851214
murray river and euston lakes,2015,1118244.7872000001,-0.6770451245714705,-0.5373312032214841,3927501.3888000003,-0.6567933250695378,-0.6913948043647673
murray river and euston lakes,2016,2782637.6256,0.8111179961031222,-0.6770451245714705,7322735.318400001,0.08405106641805096,-0.6567933250695378
murray river and euston lakes,2017,1136867.7888000002,-0.660393968944037,0.8111179961031222,NA,NA,0.08405106641805096
murray river and euston lakes,2018,797279.9328000001,-0.9640254866174517,-0.660393968944037,3634409.4336,-0.7207463650374297,NA
murray river and euston lakes,2019,1103010.3936,-0.69066646575866,-0.9640254866174517,4042612.1088000005,-0.6316760185509424,-0.7207463650374297
murray river and euston lakes,2020,1101211.1136,-0.6922752338799777,-0.69066646575866,3869602.1568,-0.6694270116396094,-0.6316760185509424
murray river and euston lakes,2021,2097108.4032,0.1981741745584916,-0.6922752338799777,5726687.385600001,-0.2642086364706816,-0.6694270116396094
murray river and euston lakes,2022,3663044.9856000002,1.598305812641663,0.1981741745584916,11129299.084800001,0.9146481550579934,-0.2642086364706816
murray river and euston lakes,2023,3733512.1344000003,1.6613117386729588,1.598305812641663,18334952.467200004,2.4869309508957245,0.9146481550579934
murray river and euston lakes,2024,738822.4704,-1.016293339293104,1.6613117386729588,4453886.2176,-0.5419354813195557,2.4869309508957245
murray river and euston lakes,2025,780649.3152000001,-0.9788952164164295,-1.016293339293104,NA,NA,NA
narran lakes,2009,0,-0.2832147302596406,NA,2158.0128,-0.6217140073317632,NA
narran lakes,2010,131.67360000000002,-0.2773817363199166,-0.2832147302596406,145341.64800000002,0.15911208382436168,-0.6217140073317632
narran lakes,2011,1562.8032,-0.21398428775194472,-0.2773817363199166,510149.31840000005,2.1485248187666013,0.15911208382436168
narran lakes,2012,7421.068800000001,0.04553035863194595,-0.21398428775194472,251161.6032,0.7361820951403771,2.1485248187666013
narran lakes,2013,7.9488,-0.282862607265904,0.04553035863194595,88297.9488,-0.15196542590086826,0.7361820951403771
narran lakes,2014,0,-0.2832147302596406,-0.282862607265904,3048.3648000000003,-0.6168586335249593,-0.15196542590086826
narran lakes,2015,0,-0.2832147302596406,-0.2832147302596406,4235.8464,-0.6103829171153803,-0.6168586335249593
narran lakes,2016,2458.512,-0.17430538475121032,-0.2832147302596406,22452.854400000004,-0.511039754544244,-0.6103829171153803
narran lakes,2017,0,-0.2832147302596406,-0.17430538475121032,3660.5088,-0.6135204167931587,-0.511039754544244
narran lakes,2018,0,-0.2832147302596406,-0.2832147302596406,0,-0.6334823403324948,-0.6135204167931587
narran lakes,2019,0,-0.2832147302596406,-0.2832147302596406,0,-0.6334823403324948,-0.6334823403324948
narran lakes,2020,0,-0.2832147302596406,-0.2832147302596406,60265.5552,-0.30483502087842307,-0.6334823403324948
narran lakes,2021,236.9952,-0.27271610665290635,-0.2832147302596406,27677.1168,-0.4825501832097267,-0.30483502087842307
narran lakes,2022,93671.7696,3.866340415191135,-0.27271610665290635,625499.1072000001,2.777564056236587,-0.4825501832097267
narran lakes,2023,0,-0.2832147302596406,3.866340415191135,104186.3904,-0.0653206795807918,2.777564056236587
narran lakes,2024,10.368,-0.28275543939824505,-0.2832147302596406,56520.8928,-0.32525586087460806,-0.0653206795807918
narran lakes,2025,3184.4448,-0.1421473696058288,-0.28275543939824505,70142.02560000001,-0.2509754735490145,-0.32525586087460806
noora evaporation basin,2009,123377.73120000001,-1.0250819634615793,NA,919817.3376000001,-0.8919004691309138,NA
noora evaporation basin,2010,796257.0432000001,-0.5220631271675332,-1.0250819634615793,3022388.3808000004,-0.5450157769533414,-0.8919004691309138
noora evaporation basin,2011,2816338.7232000004,0.9880726695063904,-0.5220631271675332,16624014.9984,1.6989968939239346,-0.5450157769533414
noora evaporation basin,2012,3561410.4192000004,1.545059770749817,0.9880726695063904,11330105.990400001,0.82560143715911,1.6989968939239346
noora evaporation basin,2013,1069132.608,-0.31807179230126453,1.545059770749817,3801931.5168000003,-0.4164058155230024,0.82560143715911
noora evaporation basin,2014,768707.5392,-0.5426580826007272,-0.31807179230126453,2677721.328,-0.6018793606600378,-0.4164058155230024
noora evaporation basin,2015,672187.248,-0.6148129604403753,-0.5426580826007272,2583967.3056,-0.6173470117084118,-0.6018793606600378
noora evaporation basin,2016,2230252.8768,0.5499373082805141,-0.6148129604403753,4977973.152000001,-0.22238105620096688,-0.6173470117084118
noora evaporation basin,2017,614532.0096,-0.6579138113790408,0.5499373082805141,NA,NA,-0.22238105620096688
noora evaporation basin,2018,535800.096,-0.7167707785230617,-0.6579138113790408,2442379.0464000003,-0.6407064125083962,NA
noora evaporation basin,2019,502289.76960000006,-0.7418218167834885,-0.7167707785230617,2394448.9056,-0.6486139846169379,-0.6407064125083962
noora evaporation basin,2020,844873.3728,-0.4857194187132009,-0.7418218167834885,2428534.5696,-0.6429904908935996,-0.6486139846169379
noora evaporation basin,2021,1482588.6624,-0.008987860555989208,-0.4857194187132009,4165644.8448,-0.35639995449290773,-0.6429904908935996
noora evaporation basin,2022,4436451.993600001,2.1992073817906483,-0.008987860555989208,13351345.948800001,1.1590680294315405,-0.35639995449290773
noora evaporation basin,2023,3730198.3488000003,1.6712391708498355,2.1992073817906483,20497014.576,2.337969008861337,1.1590680294315405
noora evaporation basin,2024,552726.9792000001,-0.7041168880890677,1.6712391708498355,3671072.8416000004,-0.43799503668740664,2.337969008861337
noora evaporation basin,2025,671271.1488000001,-0.6154978011618774,-0.7041168880890677,NA,NA,NA
paroo overflow lakes complex,2009,2069.1072000000004,-0.3535481123706184,NA,106392.8736,-0.7334211546891364,NA
paroo overflow lakes complex,2010,54781.6608,0.19793093195755268,-0.3535481123706184,3423697.7184000006,2.3974870523055904,-0.7334211546891364
paroo overflow lakes complex,2011,576.72,-0.3691614759930477,0.19793093195755268,1428794.8992,0.5146761859540054,2.3974870523055904
paroo overflow lakes complex,2012,5912.8704,-0.31333463927187266,-0.3691614759930477,2217902.5152000003,1.2594444923727655,0.5146761859540054
paroo overflow lakes complex,2013,841.5360000000001,-0.3663909694508868,-0.31333463927187266,7723.036800000001,-0.8265468143053166,1.2594444923727655
paroo overflow lakes complex,2014,12067.488000000001,-0.24894499391321293,-0.3663909694508868,100018.9728,-0.7394369112321543,-0.8265468143053166
paroo overflow lakes complex,2015,3798.1440000000002,-0.3354589192477066,-0.24894499391321293,167486.22720000002,-0.6757605865086432,-0.7394369112321543
paroo overflow lakes complex,2016,383701.8816,3.639096207376785,-0.3354589192477066,614568.9888,-0.2537990385087641,-0.6757605865086432
paroo overflow lakes complex,2017,17.1936,-0.3750152444651633,3.639096207376785,34336.224,-0.8014290002613708,-0.2537990385087641
paroo overflow lakes complex,2018,0,-0.37519512400900995,-0.3750152444651633,83653.6032,-0.7548827241400213,-0.8014290002613708
paroo overflow lakes complex,2019,2.5920000000000005,-0.3751680064898371,-0.37519512400900995,417106.5408000001,-0.44016623354830914,-0.7548827241400213
paroo overflow lakes complex,2020,4439.3184,-0.32875094892164586,-0.3751680064898371,1460432.1600000001,0.5445357750239767,-0.44016623354830914
paroo overflow lakes complex,2021,13.824,-0.375050497240088,-0.32875094892164586,258181.86239999998,-0.5901610646463709,0.5445357750239767
paroo overflow lakes complex,2022,132502.8672,1.0110506482731845,-0.375050497240088,773821.2960000001,-0.10349498780419696,-0.5901610646463709
paroo overflow lakes complex,2023,155.952,-0.37356355327210933,1.0110506482731845,138376.85760000002,-0.7032343245113313,-0.10349498780419696
paroo overflow lakes complex,2024,5127.148800000001,-0.32155486325047344,-0.37356355327210933,905238.5472,0.02053803586190931,-0.7032343245113313
paroo overflow lakes complex,2025,3656.5344,-0.3369404397118507,-0.32155486325047344,2881390.1472000005,1.885651298637367,0.02053803586190931
pyap lagoon,2009,123377.73120000001,-1.0250819634615793,NA,919817.3376000001,-0.8919004691309138,NA
pyap lagoon,2010,796257.0432000001,-0.5220631271675332,-1.0250819634615793,3022388.3808000004,-0.5450157769533414,-0.8919004691309138
pyap lagoon,2011,2816338.7232000004,0.9880726695063904,-0.5220631271675332,16624014.9984,1.6989968939239346,-0.5450157769533414
pyap lagoon,2012,3561410.4192000004,1.545059770749817,0.9880726695063904,11330105.990400001,0.82560143715911,1.6989968939239346
pyap lagoon,2013,1069132.608,-0.31807179230126453,1.545059770749817,3801931.5168000003,-0.4164058155230024,0.82560143715911
pyap lagoon,2014,768707.5392,-0.5426580826007272,-0.31807179230126453,2677721.328,-0.6018793606600378,-0.4164058155230024
pyap lagoon,2015,672187.248,-0.6148129604403753,-0.5426580826007272,2583967.3056,-0.6173470117084118,-0.6018793606600378
pyap lagoon,2016,2230252.8768,0.5499373082805141,-0.6148129604403753,4977973.152000001,-0.22238105620096688,-0.6173470117084118
pyap lagoon,2017,614532.0096,-0.6579138113790408,0.5499373082805141,NA,NA,-0.22238105620096688
pyap lagoon,2018,535800.096,-0.7167707785230617,-0.6579138113790408,2442379.0464000003,-0.6407064125083962,NA
pyap lagoon,2019,502289.76960000006,-0.7418218167834885,-0.7167707785230617,2394448.9056,-0.6486139846169379,-0.6407064125083962
pyap lagoon,2020,844873.3728,-0.4857194187132009,-0.7418218167834885,2428534.5696,-0.6429904908935996,-0.6486139846169379
pyap lagoon,2021,1482588.6624,-0.008987860555989208,-0.4857194187132009,4165644.8448,-0.35639995449290773,-0.6429904908935996
