"year","inundated_area","valley_name","valley_surface_water","valley_surface_water_lagged"
2022,13881600,"kiewa",3.00750174822599,0.872914839108135
2023,6630300,"kiewa",0.176960812287451,3.00750174822599
2024,5433300,"kiewa",-0.290287474270606,0.176960812287451
1987,229193100,"lachlan",-0.426500342790035,NA
1988,357907500,"lachlan",-0.285401524588504,-0.426500342790035
1989,676324800,"lachlan",0.0636526971995978,-0.285401524588504
1990,2850246000,"lachlan",2.44674046502709,0.0636526971995978
1991,468151200,"lachlan",-0.164550588064198,2.44674046502709
1992,351576900,"lachlan",-0.292341231245308,-0.164550588064198
1993,701368200,"lachlan",0.0911056794902213,-0.292341231245308
1994,352386000,"lachlan",-0.291454282669183,0.0911056794902213
1995,303954300,"lachlan",-0.344545899718177,-0.291454282669183
1996,343080900,"lachlan",-0.301654684591944,-0.344545899718177
1997,202261500,"lachlan",-0.456023200623163,-0.301654684591944
1998,767832300,"lachlan",0.163964706629596,-0.456023200623163
1999,428339700,"lachlan",-0.20819260170704,0.163964706629596
2000,416080800,"lachlan",-0.221631007219172,-0.20819260170704
2001,210221100,"lachlan",-0.447297757678497,-0.221631007219172
2002,90179100,"lachlan",-0.578889749985094,-0.447297757678497
2003,81333000,"lachlan",-0.588586988644424,-0.578889749985094
2004,53501400,"lachlan",-0.61909644111173,-0.588586988644424
2005,198959400,"lachlan",-0.45964301633596,-0.61909644111173
2006,71366400,"lachlan",-0.599512537623306,-0.45964301633596
2007,101841300,"lachlan",-0.566105456715421,-0.599512537623306
2008,64481400,"lachlan",-0.607059986574764,-0.566105456715421
2009,121046400,"lachlan",-0.545052513816707,-0.607059986574764
2010,630651600,"lachlan",0.0135849927043574,-0.545052513816707
2011,526494600,"lachlan",-0.100593604309006,0.0135849927043574
2012,877538700,"lachlan",0.284226646157299,-0.100593604309006
2013,340813800,"lachlan",-0.304139916475437,0.284226646157299
2014,174859200,"lachlan",-0.486062047449966,-0.304139916475437
2015,266900400,"lachlan",-0.3851649874019,-0.486062047449966
2016,2087027100,"lachlan",1.61008749675724,-0.3851649874019
2017,431735400,"lachlan",-0.204470180152288,1.61008749675724
2018,190713600,"lachlan",-0.468682196374295,-0.204470180152288
2019,102873600,"lachlan",-0.56497383267002,-0.468682196374295
2020,502209000,"lachlan",-0.127215873917652,-0.56497383267002
2021,1335004200,"lachlan",0.785707765736558,-0.127215873917652
2022,4960108800,"lachlan",4.75960637317236,0.785707765736558
2023,973454400,"lachlan",0.389370996105499,4.75960637317236
2024,651824100,"lachlan",0.0367946314733834,0.389370996105499
1987,146260800,"loddon",-0.217111291297367,NA
1988,215607600,"loddon",0.550106422808675,-0.217111291297367
1989,222949800,"loddon",0.631336788168135,0.550106422808675
1990,160912800,"loddon",-0.0550090176945228,0.631336788168135
1991,154974600,"loddon",-0.120706241357396,-0.0550090176945228
1992,192406500,"loddon",0.293421256272574,-0.120706241357396
1993,207716400,"loddon",0.462802200760165,0.293421256272574
1994,139159800,"loddon",-0.29567314257049,0.462802200760165
1995,219803400,"loddon",0.596526619340399,-0.29567314257049
1996,182100600,"loddon",0.179402021934357,0.596526619340399
1997,134951400,"loddon",-0.342232739091799,0.179402021934357
1998,128603700,"loddon",-0.412460462416176,-0.342232739091799
1999,131325300,"loddon",-0.382350064665869,-0.412460462416176
2000,150391800,"loddon",-0.171408008997794,-0.382350064665869
2001,124335000,"loddon",-0.459687187459069,-0.171408008997794
2002,106987500,"loddon",-0.651611101690937,-0.459687187459069
2003,115703100,"loddon",-0.555186137466739,-0.651611101690937
2004,114524100,"loddon",-0.568229993635027,-0.555186137466739
2005,113413500,"loddon",-0.580517107002712,-0.568229993635027
2006,107726400,"loddon",-0.643436288016003,-0.580517107002712
2007,103041000,"loddon",-0.695273169857306,-0.643436288016003
2008,77967900,"loddon",-0.972669191988856,-0.695273169857306
2009,79314300,"loddon",-0.957773307387514,-0.972669191988856
2010,593131500,"loddon",4.72683878217346,-0.957773307387514
2011,214558200,"loddon",0.538496395104688,4.72683878217346
2012,161475300,"loddon",-0.0487858038737748,0.538496395104688
2013,142916400,"loddon",-0.254112031390007,-0.0487858038737748
2014,129510900,"loddon",-0.402423663166074,-0.254112031390007
2015,112369500,"loddon",-0.59206739185402,-0.402423663166074
2016,197664300,"loddon",0.35159088049787,-0.59206739185402
2017,153108900,"loddon",-0.141347396958053,0.35159088049787
2018,122979600,"loddon",-0.474682643481543,-0.141347396958053
2019,125997300,"loddon",-0.441296345975994,-0.474682643481543
