"year","inundated_area","wetland_name","wetland_surface_water","wetland_surface_water_lagged"
1988,59438700,"lake buloke",1.15360160432776,-0.66855297473124
1989,59661900,"lake buloke",1.16094530036427,1.15360160432776
1990,33844500,"lake buloke",0.31150471768959,1.16094530036427
1991,34239600,"lake buloke",0.324504244141315,0.31150471768959
1992,78199200,"lake buloke",1.77085702320295,0.324504244141315
1993,78462900,"lake buloke",1.77953324472996,1.77085702320295
1994,45912600,"lake buloke",0.708567702179752,1.77953324472996
1995,72777600,"lake buloke",1.59247627754192,0.708567702179752
1996,71862300,"lake buloke",1.56236120145672,1.59247627754192
1997,43370100,"lake buloke",0.624914713054187,1.56236120145672
1998,2428200,"lake buloke",-0.722150111126735,0.624914713054187
1999,1217700,"lake buloke",-0.761977817453774,-0.722150111126735
2000,0,"lake buloke",-0.802042417201346,-0.761977817453774
2001,0,"lake buloke",-0.802042417201346,-0.802042417201346
2002,0,"lake buloke",-0.802042417201346,-0.802042417201346
2003,0,"lake buloke",-0.802042417201346,-0.802042417201346
2004,0,"lake buloke",-0.802042417201346,-0.802042417201346
2005,0,"lake buloke",-0.802042417201346,-0.802042417201346
2006,0,"lake buloke",-0.802042417201346,-0.802042417201346
2007,0,"lake buloke",-0.802042417201346,-0.802042417201346
2008,0,"lake buloke",-0.802042417201346,-0.802042417201346
2009,0,"lake buloke",-0.802042417201346,-0.802042417201346
2010,82068300,"lake buloke",1.89815762506164,-0.802042417201346
2011,82099800,"lake buloke",1.89919403377647,1.89815762506164
2012,52134300,"lake buloke",0.913273229197464,1.89919403377647
2013,3199500,"lake buloke",-0.696772903452183,0.913273229197464
2014,0,"lake buloke",-0.802042417201346,-0.696772903452183
2015,0,"lake buloke",-0.802042417201346,-0.802042417201346
2016,41004900,"lake buloke",0.547095224409236,-0.802042417201346
2017,5468400,"lake buloke",-0.622121864306855,0.547095224409236
2018,0,"lake buloke",-0.802042417201346,-0.622121864306855
2019,567000,"lake buloke",-0.783387060334406,-0.802042417201346
2020,980100,"lake buloke",-0.769795300331349,-0.783387060334406
2021,999000,"lake buloke",-0.769173455102451,-0.769795300331349
2022,43524900,"lake buloke",0.630007921595637,-0.769173455102451
2023,28145700,"lake buloke",0.124003575338057,0.630007921595637
2024,654300,"lake buloke",-0.780514727610448,0.124003575338057
1987,74945700,"lake mokoan",1.33060122932582,NA
1988,75182400,"lake mokoan",1.34037039934184,1.33060122932582
1989,74557800,"lake mokoan",1.31459167694216,1.34037039934184
1990,72564300,"lake mokoan",1.2323152070354,1.31459167694216
1991,67149900,"lake mokoan",1.00885008606066,1.2323152070354
1992,64491300,"lake mokoan",0.899123362762896,1.00885008606066
1993,67959900,"lake mokoan",1.04228070588734,0.899123362762896
1994,66066300,"lake mokoan",0.964127345759204,1.04228070588734
1995,65000700,"lake mokoan",0.920147508120559,0.964127345759204
1996,65862000,"lake mokoan",0.955695400536255,0.920147508120559
1997,58636800,"lake mokoan",0.657494271682332,0.955695400536255
1998,53299800,"lake mokoan",0.437223632157697,0.657494271682332
1999,61587900,"lake mokoan",0.779293163250844,0.437223632157697
2000,67426200,"lake mokoan",1.02025364193487,0.779293163250844
2001,64364400,"lake mokoan",0.89388589899005,1.02025364193487
2002,56914200,"lake mokoan",0.58639848685094,0.89388589899005
2003,57707100,"lake mokoan",0.619123349147939,0.58639848685094
2004,53079300,"lake mokoan",0.428123074538214,0.619123349147939
2005,60395400,"lake mokoan",0.730075861839353,0.428123074538214
2006,50244300,"lake mokoan",0.311115905144859,0.730075861839353
2007,33580800,"lake mokoan",-0.376626234956086,0.311115905144859
2008,23652900,"lake mokoan",-0.786374198631675,-0.376626234956086
2009,13708800,"lake mokoan",-1.1967907747038,-0.786374198631675
2010,28849500,"lake mokoan",-0.571898199876997,-1.1967907747038
2011,28240200,"lake mokoan",-0.597045455013283,-0.571898199876997
2012,27719100,"lake mokoan",-0.618552487101776,-0.597045455013283
2013,22688100,"lake mokoan",-0.826193781358556,-0.618552487101776
2014,16776000,"lake mokoan",-1.07020016096013,-0.826193781358556
2015,5702400,"lake mokoan",-1.52723387912389,-1.07020016096013
2016,30048300,"lake mokoan",-0.522420882533521,-1.52723387912389
2017,22563900,"lake mokoan",-0.831319809731979,-0.522420882533521
2018,178200,"lake mokoan",-1.7552307063418,-0.831319809731979
2019,153900,"lake mokoan",-1.7562336249366,-1.7552307063418
2020,7394400,"lake mokoan",-1.45740102881928,-1.7562336249366
2021,17838900,"lake mokoan",-1.02633175872091,-1.45740102881928
2022,26001900,"lake mokoan",-0.689425401134323,-1.02633175872091
2023,23532300,"lake mokoan",-0.791351646472535,-0.689425401134323
2024,16769700,"lake mokoan",-1.07046017689211,-0.791351646472535
1987,12352500,"coolmunda dam",-0.0798515142011778,NA
1988,14755500,"coolmunda dam",0.76311327935324,-0.0798515142011778
1989,14578200,"coolmunda dam",0.700917000577877,0.76311327935324
1990,14537700,"coolmunda dam",0.686709728776398,0.700917000577877
1991,14535000,"coolmunda dam",0.685762577322966,0.686709728776398
1992,14013900,"coolmunda dam",0.502962346810603,0.685762577322966
1993,7106400,"coolmunda dam",-1.92016678821942,0.502962346810603
1994,3157200,"coolmunda dam",-3.30553364743919,-1.92016678821942
1995,14620500,"coolmunda dam",0.715755706681644,-3.30553364743919
1996,14687100,"coolmunda dam",0.739118775866298,0.715755706681644
1997,13346100,"coolmunda dam",0.268700220661773,0.739118775866298
1998,14733000,"coolmunda dam",0.755220350574641,0.268700220661773
1999,14545800,"coolmunda dam",0.689551183136694,0.755220350574641
2000,12475800,"coolmunda dam",-0.036598264494453,0.689551183136694
2001,10628100,"coolmunda dam",-0.684765575793037,-0.036598264494453
2002,12948300,"coolmunda dam",0.129153239856135,-0.684765575793037
2003,13070700,"coolmunda dam",0.172090772411716,0.129153239856135
2004,12550500,"coolmunda dam",-0.0103937409495029,0.172090772411716
2005,13197600,"coolmunda dam",0.216606890723016,-0.0103937409495029
2006,11997000,"coolmunda dam",-0.204559788903049,0.216606890723016
2007,13909500,"coolmunda dam",0.466339157277902,-0.204559788903049
2008,12976200,"coolmunda dam",0.138940471541598,0.466339157277902
2009,8096400,"coolmunda dam",-1.57287792196104,0.138940471541598
2010,14754600,"coolmunda dam",0.762797562202096,-1.57287792196104
2011,14302800,"coolmunda dam",0.60430755232782,0.762797562202096
2012,14054400,"coolmunda dam",0.517169618612082,0.60430755232782
2013,14385600,"coolmunda dam",0.633353530233066,0.517169618612082
2014,11526300,"coolmunda dam",-0.369679858951348,0.633353530233066
2015,11599200,"coolmunda dam",-0.344106769708686,-0.369679858951348
2016,14518800,"coolmunda dam",0.680079668602374,-0.344106769708686
2017,14441400,"coolmunda dam",0.652927993603992,0.680079668602374
2018,8840700,"coolmunda dam",-1.31177983796498,0.652927993603992
2019,6773400,"coolmunda dam",-2.03698213414269,-1.31177983796498
2020,6754500,"coolmunda dam",-2.04361219431671,-2.03698213414269
2021,14860800,"coolmunda dam",0.800052186037085,-2.04361219431671
2022,14779800,"coolmunda dam",0.771637642434128,0.800052186037085
2023,14720400,"coolmunda dam",0.750800310458625,0.771637642434128
2024,12913200,"coolmunda dam",0.11684027096152,0.750800310458625
1987,36780300,"mulwala",0.389501896503819,NA
1988,36936900,"mulwala",0.860580466045308,0.389501896503819
1989,36211500,"mulwala",-1.32154210321009,0.860580466045308
1990,37305900,"mulwala",1.9705931873787,-1.32154210321009
1991,36775800,"mulwala",0.375965155999754,1.9705931873787
1992,36806400,"mulwala",0.468014991427401,0.375965155999754
1993,36751500,"mulwala",0.302866757277799,0.468014991427401
1994,36735300,"mulwala",0.254134491463162,0.302866757277799
1995,37159200,"mulwala",1.52929544694616,0.254134491463162
1996,37098900,"mulwala",1.34790312419168,1.52929544694616
